Index,Call_1,Call_2,Call_3,Call_4,Call_5,Call_6,Call_7,Call_8,Func_Call_1,Func_Call_2,Func_Call_3,Func_Call_4,Deadlock
1,1,2,2,3,3,1,3,1,0,3,2,3,1
2,3,1,0,0,2,3,3,1,2,2,1,3,1
3,3,3,3,0,2,0,1,1,2,2,1,3,1
4,3,0,1,0,1,1,2,2,2,3,2,1,1
5,2,2,3,3,1,3,0,1,1,2,2,3,1
6,1,0,0,3,2,1,2,2,2,2,3,1,0
7,1,3,3,2,2,1,0,0,2,2,2,2,1
8,2,3,2,0,0,1,3,1,2,2,2,2,1
9,1,1,2,2,3,0,3,0,2,2,2,2,1
10,1,2,2,0,3,1,0,1,2,3,2,1,1
11,1,3,2,3,0,0,0,1,3,2,1,2,1
12,3,1,0,0,1,2,2,3,2,2,2,2,1
13,0,2,2,1,3,1,0,2,2,2,3,1,0
14,0,3,1,3,1,1,2,0,2,3,1,2,1
15,3,1,1,3,0,3,2,1,1,3,1,3,-1
16,2,0,1,2,0,3,2,3,2,1,3,2,-1
17,0,2,3,1,3,0,1,2,2,2,2,2,1
18,0,3,2,0,3,0,3,2,3,0,2,3,1
19,1,2,2,0,3,1,0,3,2,2,2,2,1
20,1,3,0,0,0,1,3,1,3,3,0,2,1
21,0,0,2,1,1,2,1,2,2,3,3,0,1
22,2,3,2,1,1,1,0,2,1,3,3,1,1
23,1,2,3,0,0,0,0,2,4,1,2,1,1
24,1,0,3,0,3,1,1,2,2,3,1,2,1
25,1,3,3,2,0,0,1,3,2,2,1,3,-1
26,2,0,1,0,3,3,0,2,3,1,2,2,1
27,3,3,1,0,0,1,2,2,2,2,2,2,0
28,2,3,1,1,3,1,2,0,1,3,2,2,1
29,3,3,1,3,2,0,0,1,2,2,1,3,1
30,1,0,2,2,0,1,3,1,2,3,2,1,1
31,0,1,2,3,3,3,3,1,1,2,1,4,-1
32,1,0,0,0,3,3,1,2,3,2,1,2,1
33,1,0,2,2,2,2,1,3,1,2,4,1,-1
34,0,0,2,1,2,1,0,2,3,2,3,0,1
35,0,0,3,1,3,2,1,2,2,2,2,2,1
36,0,3,3,2,1,0,2,0,3,1,2,2,1
37,2,3,0,1,3,1,2,3,1,2,2,3,1
38,1,2,2,3,3,3,1,0,1,2,2,3,1
39,0,2,3,1,3,0,0,3,3,1,1,3,1
40,0,0,3,1,2,3,1,3,2,2,1,3,1
41,2,1,3,1,3,3,1,0,1,3,1,3,1
42,0,0,2,3,1,3,3,2,2,1,2,3,1
43,3,3,1,0,1,0,3,3,2,2,0,4,1
44,0,2,3,1,3,3,2,3,1,1,2,4,1
45,2,3,0,3,1,2,2,1,1,2,3,2,1
46,1,1,1,2,0,3,2,3,1,3,2,2,1
